circuitId;circuitRef;name;location;country;lat;lng;alt;url
1;albert_park;Albert Park Grand Prix Circuit;Melbourne;Australia;-378497;144968;10;http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2;sepang;Sepang International Circuit;Kuala Lumpur;Malaysia;276083;101738;18;http://en.wikipedia.org/wiki/Sepang_International_Circuit
3;bahrain;Bahrain International Circuit;Sakhir;Bahrain;260325;505106;7;http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4;catalunya;Circuit de Barcelona-Catalunya;Montmeló;Spain;41.57;226111;109;http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5;istanbul;Istanbul Park;Istanbul;Turkey;409517;29405;130;http://en.wikipedia.org/wiki/Istanbul_Park
6;monaco;Circuit de Monaco;Monte-Carlo;Monaco;437347;742056;7;http://en.wikipedia.org/wiki/Circuit_de_Monaco
7;villeneuve;Circuit Gilles Villeneuve;Montreal;Canada;45.5;-735228;13;http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8;magny_cours;Circuit de Nevers Magny-Cours;Magny Cours;France;468642;316361;228;http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9;silverstone;Silverstone Circuit;Silverstone;UK;520786;-101694;153;http://en.wikipedia.org/wiki/Silverstone_Circuit
10;hockenheimring;Hockenheimring;Hockenheim;Germany;493278;856583;103;http://en.wikipedia.org/wiki/Hockenheimring
11;hungaroring;Hungaroring;Budapest;Hungary;475789;192486;264;http://en.wikipedia.org/wiki/Hungaroring
12;valencia;Valencia Street Circuit;Valencia;Spain;394589;-0.331667;4;http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13;spa;Circuit de Spa-Francorchamps;Spa;Belgium;504372;597139;401;http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14;monza;Autodromo Nazionale di Monza;Monza;Italy;456156;928111;162;http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15;marina_bay;Marina Bay Street Circuit;Marina Bay;Singapore;12914;103864;18;http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16;fuji;Fuji Speedway;Oyama;Japan;353717;138927;583;http://en.wikipedia.org/wiki/Fuji_Speedway
17;shanghai;Shanghai International Circuit;Shanghai;China;313389;121.22;5;http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18;interlagos;Autódromo José Carlos Pace;São Paulo;Brazil;-237036;-466997;785;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19;indianapolis;Indianapolis Motor Speedway;Indianapolis;USA;39795;-862347;223;http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20;nurburgring;Nürburgring;Nürburg;Germany;503356;69475;578;http://en.wikipedia.org/wiki/N%C3%BCrburgring
21;imola;Autodromo Enzo e Dino Ferrari;Imola;Italy;443439;117167;37;http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22;suzuka;Suzuka Circuit;Suzuka;Japan;348431;136541;45;http://en.wikipedia.org/wiki/Suzuka_Circuit
23;osterreichring;A1-Ring;Spielburg;Austria;472197;147647;678;http://en.wikipedia.org/wiki/A1-Ring
24;yas_marina;Yas Marina Circuit;Abu Dhabi;UAE;244672;546031;3;http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25;galvez;Autódromo Juan y Oscar Gálvez;Buenos Aires;Argentina;-346943;-584593;8;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
26;jerez;Circuito de Jerez;Jerez de la Frontera;Spain;367083;-603417;37;http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
27;estoril;Autódromo do Estoril;Estoril;Portugal;387506;-939417;130;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
28;okayama;Okayama International Circuit;Okayama;Japan;34915;134221;266;http://en.wikipedia.org/wiki/TI_Circuit
29;adelaide;Adelaide Street Circuit;Adelaide;Australia;-349272;138617;58;http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
30;kyalami;Kyalami;Midrand;South Africa;-259894;280767;1460;http://en.wikipedia.org/wiki/Kyalami
31;donington;Donington Park;Castle Donington;UK;528306;-137528;88;http://en.wikipedia.org/wiki/Donington_Park
32;rodriguez;Autódromo Hermanos Rodríguez;Mexico City;Mexico;194042;-990907;2227;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33;phoenix;Phoenix street circuit;Phoenix;USA;334479;-112075;345;http://en.wikipedia.org/wiki/Phoenix_street_circuit
34;ricard;Circuit Paul Ricard;Le Castellet;France;432506;579167;432;http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35;yeongam;Korean International Circuit;Yeongam County;Korea;347333;126417;0;http://en.wikipedia.org/wiki/Korean_International_Circuit
36;jacarepagua;Autódromo Internacional Nelson Piquet;Rio de Janeiro;Brazil;-229756;-43395;1126;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37;detroit;Detroit Street Circuit;Detroit;USA;423298;-830401;177;http://en.wikipedia.org/wiki/Detroit_street_circuit
38;brands_hatch;Brands Hatch;Kent;UK;513569;0.263056;145;http://en.wikipedia.org/wiki/Brands_Hatch
39;zandvoort;Circuit Park Zandvoort;Zandvoort;Netherlands;523888;454092;6;http://en.wikipedia.org/wiki/Circuit_Zandvoort
40;zolder;Zolder;Heusden-Zolder;Belgium;509894;525694;36;http://en.wikipedia.org/wiki/Zolder
41;dijon;Dijon-Prenois;Dijon;France;473625;489913;484;http://en.wikipedia.org/wiki/Dijon-Prenois
42;dallas;Fair Park;Dallas;USA;327774;-967587;139;http://en.wikipedia.org/wiki/Fair_Park
43;long_beach;Long Beach;California;USA;337651;-118189;12;http://en.wikipedia.org/wiki/Long_Beach,_California
44;las_vegas;Las Vegas Street Circuit;Nevada;USA;361162;-115174;639;http://en.wikipedia.org/wiki/Las_Vegas,_Nevada
45;jarama;Jarama;Madrid;Spain;406171;-358558;609;http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46;watkins_glen;Watkins Glen;New York State;USA;423369;-769272;485;http://en.wikipedia.org/wiki/Watkins_Glen_International
47;anderstorp;Scandinavian Raceway;Anderstorp;Sweden;572653;136042;153;http://en.wikipedia.org/wiki/Scandinavian_Raceway
48;mosport;Mosport International Raceway;Ontario;Canada;440481;-786756;332;http://en.wikipedia.org/wiki/Mosport
49;montjuic;Montjuïc;Barcelona;Spain;413664;215167;79;http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50;nivelles;Nivelles-Baulers;Brussels;Belgium;506211;432694;139;http://en.wikipedia.org/wiki/Nivelles-Baulers
51;charade;Charade Circuit;Clermont-Ferrand;France;457472;303889;790;http://en.wikipedia.org/wiki/Charade_Circuit
52;tremblant;Circuit Mont-Tremblant;Quebec;Canada;461877;-746099;214;http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53;essarts;Rouen-Les-Essarts;Rouen;France;493306;100458;81;http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54;lemans;Le Mans;Le Mans;France;47.95;0.224231;67;http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55;reims;Reims-Gueux;Reims;France;492542;393083;88;http://en.wikipedia.org/wiki/Reims-Gueux
56;george;Prince George Circuit;Eastern Cape Province;South Africa;-330486;278736;15;http://en.wikipedia.org/wiki/Prince_George_Circuit
57;zeltweg;Zeltweg;Styria;Austria;472039;147478;676;http://en.wikipedia.org/wiki/Zeltweg_Airfield
58;aintree;Aintree;Liverpool;UK;534769;-294056;20;http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59;boavista;Circuito da Boavista;Oporto;Portugal;411705;-867325;28;http://en.wikipedia.org/wiki/Circuito_da_Boavista
60;riverside;Riverside International Raceway;California;USA;33937;-117273;470;http://en.wikipedia.org/wiki/Riverside_International_Raceway
61;avus;AVUS;Berlin;Germany;524806;132514;53;http://en.wikipedia.org/wiki/AVUS
62;monsanto;Monsanto Park Circuit;Lisbon;Portugal;387197;-920306;158;http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63;sebring;Sebring International Raceway;Florida;USA;274547;-813483;18;http://en.wikipedia.org/wiki/Sebring_Raceway
64;ain-diab;Ain Diab;Casablanca;Morocco;335786;-76875;19;http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65;pescara;Pescara Circuit;Pescara;Italy;42475;141508;129;http://en.wikipedia.org/wiki/Pescara_Circuit
66;bremgarten;Circuit Bremgarten;Bern;Switzerland;469589;740194;551;http://en.wikipedia.org/wiki/Circuit_Bremgarten
67;pedralbes;Circuit de Pedralbes;Barcelona;Spain;413903;211667;85;http://en.wikipedia.org/wiki/Pedralbes_Circuit
68;buddh;Buddh International Circuit;Uttar Pradesh;India;283487;775331;194;http://en.wikipedia.org/wiki/Buddh_International_Circuit
69;americas;Circuit of the Americas;Austin;USA;301328;-976411;161;http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70;red_bull_ring;Red Bull Ring;Spielburg;Austria;472197;147647;678;http://en.wikipedia.org/wiki/Red_Bull_Ring
71;sochi;Sochi Autodrom;Sochi;Russia;434057;399578;2;http://en.wikipedia.org/wiki/Sochi_Autodrom
72;port_imperial;Port Imperial Street Circuit;New Jersey;USA;407769;-740111;4;http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73;BAK;Baku City Circuit;Baku;Azerbaijan;403725;498533;-7;http://en.wikipedia.org/wiki/Baku_City_Circuit
74;hanoi;Hanoi Street Circuit;Hanoi;Vietnam;210166;105766;9;http://en.wikipedia.org/wiki/Hanoi_Street_Circuit
75;portimao;Autódromo Internacional do Algarve;Portimão;Portugal;37227;-86267;108;http://en.wikipedia.org/wiki/Algarve_International_Circuit
76;mugello;Autodromo Internazionale del Mugello;Mugello;Italy;439975;113719;255;http://en.wikipedia.org/wiki/Mugello_Circuit
77;jeddah;Jeddah Street Circuit;Jeddah;Saudi Arabia;215433;391728;15;http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
